ablation,mean_mean_success,ci95_mean_success,mean_mean_valid_invariance_retention,ci95_mean_valid_invariance_retention,mean_mean_invalid_invariance_rejection,ci95_mean_invalid_invariance_rejection,mean_mean_action_equivalence_f1,ci95_mean_action_equivalence_f1,mean_mean_false_invariance_acceptance,ci95_mean_false_invariance_acceptance,mean_mean_contact_frame_violation,ci95_mean_contact_frame_violation,mean_mean_affordance_violation,ci95_mean_affordance_violation,mean_mean_temporal_order_violation,ci95_mean_temporal_order_violation,mean_mean_unsafe_action,ci95_mean_unsafe_action,mean_mean_calibration_ece,ci95_mean_calibration_ece,mean_mean_intervention_cost,ci95_mean_intervention_cost,mean_mean_observation_equivalence_score,ci95_mean_observation_equivalence_score,mean_mean_action_equivalence_score,ci95_mean_action_equivalence_score,mean_mean_physical_validity_margin,ci95_mean_physical_validity_margin,mean_mean_over_invariance_rate,ci95_mean_over_invariance_rate,mean_mean_regret_to_oracle,ci95_mean_regret_to_oracle,mean_mean_utility,ci95_mean_utility,groups,interpretation
conformal_only,0.631458,0.009079,0.438958,0.014444,0.551458,0.012594,0.481667,0.01325,0.155625,0.00819,0.055,0.00597,0.054375,0.006926,0.033958,0.003552,0.0575,0.003811,0.092708,0.009744,0.220208,0.013169,0.459375,0.011489,0.472292,0.009702,0.58,0.01495,0.140417,0.006093,0.0,0.0,0.680424,0.009744,10,conformal shift-filter baseline
full_action_equivalence_invariance_audit_v5,0.76,0.004029,0.592292,0.019105,0.808333,0.008905,0.660625,0.016951,0.0425,0.004182,0.024375,0.003604,0.018333,0.003486,0.011458,0.002671,0.019375,0.003755,0.051875,0.008312,0.202917,0.007335,0.65,0.014314,0.675,0.017345,0.802292,0.007032,0.034792,0.004795,0.0,0.0,0.861141,0.003472,10,all components
minus_action_equivalence_head,0.732708,0.016163,0.583958,0.016881,0.661667,0.010494,0.556667,0.010851,0.085833,0.006718,0.042083,0.005086,0.034792,0.003755,0.022917,0.004676,0.043333,0.005194,0.087292,0.011132,0.202708,0.015255,0.637083,0.012472,0.467708,0.020053,0.601667,0.015312,0.094792,0.005815,0.0,0.0,0.802791,0.014956,10,uses observation equivalence without action-equivalence supervision
minus_affordance_consistency,0.714167,0.012018,0.56875,0.011772,0.674375,0.011566,0.569792,0.015086,0.105208,0.006125,0.045417,0.005403,0.0575,0.006419,0.020208,0.003705,0.04875,0.003232,0.078125,0.006064,0.201042,0.012945,0.639583,0.010923,0.589583,0.016024,0.659792,0.008258,0.1025,0.009187,0.0,0.0,0.785772,0.01139,10,"misses tool, object, and support affordance swaps"
minus_conservatism_calibration,0.725,0.018463,0.554583,0.018531,0.717708,0.011994,0.564167,0.009367,0.083333,0.008522,0.050625,0.004984,0.03625,0.006476,0.028542,0.003947,0.06375,0.006243,0.114583,0.009292,0.181458,0.013147,0.635208,0.015393,0.572292,0.014276,0.687083,0.009736,0.083125,0.006708,0.0,0.0,0.802652,0.016628,10,over-accepts or over-rejects transformed states
minus_contact_frame_test,0.71125,0.012162,0.574583,0.016455,0.666875,0.016675,0.59,0.016388,0.104583,0.006773,0.0675,0.006674,0.034167,0.005781,0.027708,0.005095,0.04875,0.004644,0.079167,0.005995,0.195208,0.011142,0.641042,0.014811,0.604167,0.014672,0.655208,0.014161,0.0975,0.011546,0.0,0.0,0.784378,0.013182,10,accepts mirror-handed or contact-frame collapses
minus_counterfactual_transform_witness,0.718542,0.007877,0.571667,0.017294,0.705625,0.016837,0.575625,0.013653,0.084167,0.009724,0.045417,0.004862,0.034167,0.00895,0.028125,0.00351,0.044583,0.004604,0.080833,0.008711,0.187708,0.010266,0.62375,0.01144,0.582083,0.013776,0.678958,0.014164,0.075208,0.006009,0.0,0.0,0.79923,0.006503,10,removes counterfactual evidence that a transform preserves action
minus_fixed_risk_acceptor,0.719792,0.014343,0.58,0.013353,0.72375,0.013394,0.601458,0.017088,0.079167,0.006471,0.050625,0.006915,0.031667,0.003539,0.023125,0.004533,0.0575,0.006243,0.076667,0.005194,0.185208,0.010914,0.629792,0.017996,0.603542,0.014482,0.705208,0.013491,0.075,0.005807,0.0,0.0,0.802678,0.013854,10,does not tune invariance acceptance to a risk budget
minus_physical_validity_classifier,0.6925,0.012581,0.595,0.008888,0.615833,0.015184,0.548958,0.016165,0.121875,0.007183,0.043125,0.005273,0.030208,0.003614,0.025833,0.005208,0.061875,0.006669,0.078958,0.010533,0.19625,0.008963,0.647917,0.018159,0.54875,0.009838,0.57625,0.015378,0.110208,0.008154,0.0,0.0,0.755973,0.012295,10,cannot separate action-preserving and action-changing transforms
minus_temporal_order_check,0.716667,0.007795,0.587708,0.020302,0.678125,0.015366,0.585625,0.015235,0.094375,0.008054,0.04,0.007171,0.036458,0.006125,0.0375,0.004083,0.040208,0.003655,0.077083,0.008478,0.191667,0.00945,0.626667,0.014479,0.600417,0.013278,0.663542,0.009196,0.078542,0.00991,0.0,0.0,0.793356,0.00699,10,collapses task order under temporal reversal
